@relation Rel

@attribute 'contains copyright' numeric
@attribute 'contains author' numeric
@attribute 'followed by class' numeric
@attribute 'doc comment' numeric
@attribute 'ast location' numeric
@attribute 'decl. distance' numeric
@attribute 'code indicators' numeric
@attribute 'special characters' numeric
@attribute context numeric
@attribute section numeric
@attribute 'inside method' numeric
@attribute length numeric
@attribute task numeric
@attribute 'followed by comment' numeric
@attribute first numeric
@attribute 'Classification Category' {COPYRIGHT,HEADER,INTERFACE,INLINE,SECTION,TASK,CODE}

@data
0,0,0,0,1,1,0,0.019048,1,0,0,1,1,0,0,TASK
0,1,1,0,0,-1,0,0.076336,0,1,0,3,0,0,1,HEADER
0,0,0,0,1,1,0,0.046154,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.0375,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.054545,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,6,0,0.078947,1,1,0,1,0,0,0,INTERFACE
0,0,1,0,0,6,0,0.035032,1,1,0,3,0,0,1,HEADER
0,0,0,1,1,1,0,0.076923,1,1,0,4,0,0,1,INTERFACE
0,0,0,1,1,1,0,0.136364,0,1,0,3,0,0,0,INTERFACE
0,0,1,0,0,15,0,0.070707,0,1,0,2,0,0,0,HEADER
0,0,0,0,1,13,0,0.04878,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,11,0,0.0625,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,11,0,0.064516,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.103448,0,1,0,10,0,0,0,INTERFACE
0,0,1,0,0,29,0,0.054945,0,1,0,1,0,0,0,HEADER
0,0,0,0,1,30,0,0.04878,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,43,0,0.0625,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.025974,0,0,1,1,0,1,0,INLINE
0,0,0,0,1,39,0,0.064516,0,0,0,1,0,0,0,INTERFACE
0,0,1,0,0,39,0,0.055556,0,1,0,1,0,0,0,HEADER
0,0,0,0,1,30,0,0.04878,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,52,0,0.0625,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,89,0,0.064516,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.019417,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,0,0.0625,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,0,0.044444,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,30,0,0.051282,1,0,1,1,0,0,0,INLINE
0,0,1,0,0,-1,0,0.04375,0,1,0,2,0,0,1,HEADER
0,0,1,0,0,-1,0,0.027778,0,0,0,1,0,0,1,HEADER
0,0,1,0,0,-1,0,0.047809,0,1,0,4,1,0,0,TASK
0,0,1,0,0,-1,0,0.06,0,1,0,1,0,0,0,HEADER
0,0,0,0,1,2,0,0.103448,1,1,0,3,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.069767,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.071429,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,-1,1,0.349246,0,1,0,8,0,1,0,CODE
0,0,0,0,1,1,0,0.04,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.037037,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.096774,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.073171,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.09434,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.061224,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.054545,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.054545,1,1,0,1,0,0,0,INTERFACE
0,0,1,0,0,33,0,0.046154,1,1,0,1,0,0,1,HEADER
0,0,0,0,2,-1,0,0.026667,1,0,1,1,0,0,0,INLINE
0,0,0,1,1,1,0,0.033613,1,0,0,5,1,0,0,TASK
0,1,0,0,0,-1,0,0.092199,0,1,0,4,0,0,1,HEADER
0,0,1,0,0,-1,0,0.028302,0,1,0,1,0,0,1,HEADER
0,0,0,1,1,1,0,0.134831,0,1,0,4,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.045455,1,1,0,2,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.058442,1,1,0,3,0,0,0,INTERFACE
0,0,0,1,1,0,0,0.134831,0,1,0,4,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.085714,1,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.103448,1,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.090909,1,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,3,0,0.073171,0,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.111111,0,1,0,1,0,0,0,INTERFACE
0,0,1,0,0,14,0,0.043796,0,1,0,2,0,0,0,HEADER
0,0,1,0,0,19,0,0.041958,1,1,0,2,0,0,1,HEADER
0,0,0,0,2,-1,0,0.066667,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,0,0.081081,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,1,0.136364,0,0,1,1,0,0,0,INLINE
0,0,1,0,0,-1,0,0.054545,0,1,0,1,0,0,0,HEADER
0,0,0,0,1,2,0,0.096774,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.096774,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.073171,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.076923,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.042553,1,0,0,1,0,0,0,INTERFACE
0,0,1,0,0,8,0,0.052632,0,1,0,1,0,0,0,HEADER
0,0,1,0,0,-1,0,0.108696,0,1,0,1,0,0,1,HEADER
0,0,0,0,1,1,0,0.037975,1,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.046154,1,1,0,3,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.042889,1,1,0,6,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.070064,1,1,0,3,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.075,1,1,0,2,0,0,0,INTERFACE
0,0,0,1,1,9,0,0.067961,1,1,0,2,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.12,1,1,0,1,0,0,0,INTERFACE
0,1,1,0,0,5,0,0.10989,1,1,0,3,0,0,1,HEADER
0,0,0,1,1,1,0,0.101351,1,1,0,5,0,0,0,INTERFACE
0,0,1,0,0,-1,0,0.111111,0,1,0,1,0,0,1,HEADER
0,0,0,0,1,3,0,0.105263,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.107143,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.04918,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.085714,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.069767,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.107143,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.083333,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.088235,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,12,0,0.089286,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.083333,0,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,0,0,0.059406,1,1,0,2,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.071429,1,1,0,2,0,0,0,INTERFACE
0,0,1,0,0,-1,0,0.071429,0,1,0,1,0,0,1,HEADER
0,0,0,0,1,1,0,0.027778,1,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.056075,1,1,0,2,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.053571,0,1,0,1,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.057143,1,1,0,4,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.070423,1,1,0,3,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.1,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.068966,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.103448,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.056338,0,0,1,1,1,0,0,TASK
0,0,0,0,1,3,0,0.09375,1,1,0,1,0,0,0,INTERFACE
0,0,1,0,0,-1,0,0.042553,0,1,0,2,1,0,1,TASK
0,0,0,0,1,0,0,0.05102,0,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.02381,1,1,0,1,0,0,0,INTERFACE
0,0,0,0,1,25,0,0.05,1,1,0,1,0,0,0,INTERFACE
1,0,0,0,1,-1,0,0.055355,0,0,0,17,0,0,1,COPYRIGHT
0,0,0,0,1,3,0,0.920732,0,1,0,2,0,0,0,SECTION
