@relation Rel

@attribute 'contains copyright' numeric
@attribute 'contains author' numeric
@attribute 'followed by class' numeric
@attribute 'doc comment' numeric
@attribute 'ast location' numeric
@attribute 'decl. distance' numeric
@attribute 'code indicators' numeric
@attribute 'special characters' numeric
@attribute context numeric
@attribute section numeric
@attribute 'inside method' numeric
@attribute length numeric
@attribute task numeric
@attribute 'followed by comment' numeric
@attribute first numeric
@attribute 'Classification Category' {COPYRIGHT,HEADER,INTERFACE,INLINE,SECTION,TASK,CODE}

@data
0,0,0,0,1,-1,0,0.068966,0,0,0,1,0,1,1,SECTION
0,0,0,0,1,2,0,0.019841,0,0,0,6,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.016129,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.055556,0,0,0,1,0,1,0,SECTION
0,0,0,0,1,2,0,0.028986,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.028169,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.025641,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.048193,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.05,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.015873,0,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.032787,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.035714,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.027778,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.027397,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.054054,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.055556,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.026316,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.025,1,0,0,3,0,0,1,INTERFACE
0,0,0,0,1,1,1,0.030303,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,1,0.032468,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,1,0.036364,0,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,1,0.036145,0,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,1,0.03681,0,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.011278,0,0,0,7,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.013158,0,0,0,7,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.066667,0,0,0,1,0,1,1,SECTION
0,0,0,0,1,2,0,0.055556,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.01199,1,0,0,11,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.010482,1,0,0,12,0,0,0,INTERFACE
0,0,0,0,1,0,0,0.017274,1,0,0,13,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.055556,0,0,0,1,0,1,0,SECTION
0,0,0,0,1,1,0,0.023256,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.052083,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.020202,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.008333,1,0,0,7,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.043011,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.026667,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.027778,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.05,1,0,0,3,0,0,1,INTERFACE
1,0,0,0,0,-1,0,0.028283,0,0,0,16,0,0,1,COPYRIGHT
0,0,1,0,0,-1,0,0.038462,0,0,0,4,0,0,0,HEADER
0,0,0,0,1,3,0,0.034483,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.034483,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.035088,0,0,0,3,0,0,0,INTERFACE
0,0,0,1,1,3,0,0.017094,1,0,0,4,0,0,0,INTERFACE
0,0,1,0,0,-1,0,0.0375,0,0,0,3,0,0,0,HEADER
0,0,0,0,1,1,0,0.039216,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,2,0,0,0.088889,0,0,1,2,0,0,0,INLINE
1,0,0,0,0,-1,0,0.028169,0,0,0,16,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028398,0,0,0,16,0,0,1,COPYRIGHT
0,0,0,1,1,2,0,0.014184,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,2,3,0,0.055556,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,48,0,0.083333,0,0,1,2,0,0,0,INLINE
0,0,0,0,2,56,0,0.058824,0,0,1,2,0,0,0,INLINE
0,0,0,0,2,3,0,0.055556,0,0,1,1,0,0,0,INLINE
1,0,0,0,0,-1,0,0.027505,0,0,0,16,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028226,0,0,0,16,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.017204,1,0,0,9,0,0,0,HEADER
0,1,0,0,1,4,0,0.039474,1,0,0,4,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.010811,1,0,0,8,0,0,0,INTERFACE
0,0,0,1,1,6,0,0.012048,1,0,0,7,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.030769,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.04,0,0,1,1,0,0,0,INLINE
0,0,0,0,1,4,1,0.026923,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.019231,1,0,0,5,0,0,0,INTERFACE
0,1,0,0,1,4,0,0.012924,1,0,0,9,0,0,0,INTERFACE
0,1,1,0,0,-1,0,0.013514,0,0,0,6,0,0,1,HEADER
0,0,0,1,1,9,0,0.022099,1,0,0,4,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.0375,1,0,0,11,0,0,0,INTERFACE
0,0,0,1,1,2,1,0.038889,1,0,0,14,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.027586,1,0,0,12,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.025518,1,0,0,13,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.027231,1,0,0,13,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
0,0,1,0,0,-1,0,0.013423,0,0,0,7,0,0,0,HEADER
0,0,0,1,1,1,0,0.013228,1,0,0,8,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.020661,1,0,0,5,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028662,0,0,0,11,0,0,1,COPYRIGHT
0,1,1,0,0,19,0,0.016949,0,0,0,6,0,0,0,HEADER
0,0,0,1,1,2,0,0.039409,1,0,0,5,0,0,0,INTERFACE
0,0,0,1,1,3,0,0.048077,1,0,0,5,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028571,0,0,0,11,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.028662,0,0,0,11,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.128019,0,1,0,16,0,0,1,COPYRIGHT
1,0,0,0,0,-1,0,0.128019,0,1,0,16,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.022222,1,0,0,9,0,0,0,HEADER
0,0,0,0,1,15,0,0.055556,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.125,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,6,0,0.125,1,0,0,1,0,0,0,INTERFACE
1,0,1,0,0,-1,0,0.144213,0,1,0,14,0,1,1,COPYRIGHT
1,0,0,0,0,35,0,0.127608,1,1,0,16,0,0,1,COPYRIGHT
0,0,0,0,1,3,0,0.055556,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.074074,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.028302,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.064516,1,0,0,1,0,1,0,INTERFACE
0,0,0,0,1,2,0,0.045455,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.057143,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.055556,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.051282,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.046512,1,0,0,1,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.128019,0,1,0,16,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.006826,0,0,0,9,0,0,0,HEADER
0,0,0,0,1,3,0,0.052632,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.04,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.021739,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.046512,0,0,1,1,0,0,0,INLINE
0,0,0,0,1,2,0,0.029851,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.029412,1,0,0,1,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.128019,0,1,0,16,0,0,1,COPYRIGHT
0,1,1,1,0,-1,0,0.021407,0,0,0,10,0,0,0,HEADER
0,0,0,0,1,3,0,0.051282,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.008368,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.010204,1,0,0,6,0,0,0,INTERFACE
0,0,0,1,1,1,0,0.013228,1,0,0,11,0,0,0,INTERFACE
